Lydraščio Nr.;Administracijos padalinio pavadinimas;Prekių BVPŽ kodas, paslaugų kategorija, darbai;Darbų objektas;Pirkimo grupė;Laimėtojo nustatymo data;Laimėtojas;Laimėtojo pasiūlymo kaina, Eur;Sutarties vertė, Eur;Pirkimo pavadinimas;Pirkimo objekto apibūdinimas;Spe. Reikalavimai;Pirkimo procedūros pradžia
8610;Turto skyrius;Darbai;Kareivinių g. 11;Darbų pirkimas;2014.08.07;Trapecija;8072,73;8072,73;Šiltnamio ir stoginės Kareivinių g. 11, Kaune laikančiųjų konstrukcijų liekanų griovimo  aprašo parengimas ir griovimo darbai su statybvietės sutvarkymu;Šiltnamio ir stoginės Kareivinių g. 11, Kaune laikančiųjų konstrukcijų liekanų griovimo  aprašo parengimas ir griovimo darbai su statybvietės sutvarkymu;Vykdyti ne per CPO;2014.04.04
8611;Bendrasis skyrius;395;prekės;2014.04.10;AB „Lytagra“;1140,52;1140,52;plastikiniai kilimėliai po kėdėm;Plastikiniai kilimėliai po kėdėm;Ne per CPO;2014.04.04
8628;Tarptautinių ryšių ir protokolo skyrius;221;prekės;2014.04.25;UAB „Alio“;1398,86;1398,86;Žymiausi Lietuvos kariuomenės mūšiai ir karinės operacijos;Istorinis albumas;ne per CPO;2014.04.09
8629;Bendrasis skyrius;223;prekės;2014.04.11;Gintaras Česonis;405,47;405,47;Panoraminė nuotrauka su Kauno m. vaizdu;Panoraminė nuotrauka-paveikslas su Kauno m. vaizdu;Ne per CPO;2014.04.09
8688;Civilinės saugos skyrius;Darbai;Pastatų griovimo technikos darbų atlikimo ekstremaliosios situacijos atveju darbau Kauno mieste;Darbų pirkimas;2014.05.13;UAB „Griovimo ir statybos darbai“;2803,52;2803,52;Pastatų griovimo technikos darbų atlikimas ekstremaliosios situacijos atveju;Pastatų griovimo technikos darbų atlikimo ekstremaliosios situacijos atveju pirkimas;ne per CPO;2014.04.10
8768;Kultūros ir turizmo plėtros skyrius;KAT7.722;paslaugos;2014.05.05;PocketGuide Inc;2250,35;2250,35;Pocket Guide audio gido aplikacijos pirkimas;Pocket Guide audio gido aplikacija;Ne per CPO;2014.04.15
8771;Dainavos seniūnija;158;prekės;2014.05.09;CHARLOT LT, UAB;463,39;463,39;Įvairūs maisto produktai - kava, arbata, vanduo, cukrus, saldainiai, sausainiai ir kt.;Įvairūs maisto produktai - kava, arbata, vanduo, cukrus, saldainiai, sausainiai;ne per CPO;2014.04.15
8772;Miesto tvarkymo skyrius;317;prekės;2014.04.28;UAB ,,Kelio  ženklai'';429,29;429,29;Traktorių, savaeigių ir žemės ūkio mašinų ir jų priekabų valstybinių numerių pirkimas;Traktorių, savaeigių ir žemės ūkio mašinų ir jų priekabų valstybiniai numeriai;Ne per CPO;2014.04.16
8777;Eigulių seniūnija;386;prekės;2014.05.29;UAB ,,Fotofabrikas'';272,24;272,24;Fotoaparatai;Fotoaparatai.;ne per CPO;2014.04.16
8809;Bendrasis skyrius;KAT6.665;paslaugos;2014.05.08;AAS Gjensidige Baltic;83,12;Pastato Perlojos g. 29 draudimas;Pastato Perlojos g. 29 draudimas;Ne per CPO;2014.04.18
